company name,Store name,Homepage URL,담당자명,연락처1,연락처2,이메일,사업자번호,비고
빅토리샵,Victory Shop,https://smartstore.naver.com/victoryhwang,,,,,2056162091,
모미지재팬 스토어,모미지스토어,https://smartstore.naver.com/momijistore,,,,,6521002225,
스테이리프,스테이리프,https://smartstore.naver.com/stayleaf,,,,,6323201113,
엠에스컴퍼니,필 쏘 굳,https://smartstore.naver.com/feelsogood0614,,,,,4551401360,
유비아,유비아가구,https://smartstore.naver.com/ubia,,,,,1283722399,
수원악기,수원악기,https://smartstore.naver.com/suwonmusic,,,,,1350427389,
알이(Re) 시스템,리메이드컴퓨터,https://smartstore.naver.com/remadesys,,,,,5104600543,
오토모토,AT모토,https://smartstore.naver.com/workpcshop,,,,,7864100505,
솔라센타(주),솔라센타,https://smartstore.naver.com/solarcenter,,,,,1368107994,
싱글티,G FORE 스토어,https://smartstore.naver.com/gfore,,,,,1122897175,
종로싸인,황금맷돌온라인스토어,https://smartstore.naver.com/jongrosign,,,,,3317900142,
아빠여기야,아빠여기야,https://smartstore.naver.com/daddyhere,,,,,5105400626,
빈티지욱,빈티지욱,https://smartstore.naver.com/vintagewookpremium,,,,,7506000128,
에이케이디컴퍼니,에이케이파츠,https://smartstore.naver.com/akparts,,,,,5081891960,
에이스기어,에이스아웃도어 종로점,https://smartstore.naver.com/acegear,,,,,1094350973,
와이엔오,와이엔오,https://smartstore.naver.com/youoriginal,,,,,3072204345,
존뿌링,존슨몰,https://smartstore.naver.com/johnsonjohnsonmall,,,,,6800601961,
스튜디오 루네트(STUDIO LUNETTE),스튜디오 루네트,https://smartstore.naver.com/lunet,,,,,2922500484,
모빌리티,모빌리티 스토어,https://smartstore.naver.com/mobility_store,,,,,1102601344,
우아,가공,https://smartstore.naver.com/gagong,,,,,7876400322,
세미통상,세미통상,https://smartstore.naver.com/semi2017,,,,,6491200792,
에뜨르부티크,에트르부티크,https://smartstore.naver.com/boutiquepalace,,,,,8163900652,
스마트테크(Smart tech),스마트테크,https://smartstore.naver.com/smarttechtouch,,,,,7155800229,
우리건설기계,우리건설기계,https://smartstore.naver.com/woori09,,,,,1040428536,
예술,예술몰,https://smartstore.naver.com/ye-sul,,,,,1190675976,
스포빌,스포빌골프용품남부연습장,https://smartstore.naver.com/spovilnambu,,,,,1420132759,
안느,스튜디오 안느,https://smartstore.naver.com/studio-anne,,,,,7113400686,
씨제이그룹 주식회사,109모빌리티,https://smartstore.naver.com/109mobility,,,,,6688801666,
어쿠스틱 스테이지,어쿠스틱 스테이지,https://smartstore.naver.com/acousticstage,,,,,1864500528,
세이프디포,안전클릭,https://smartstore.naver.com/safeclick,,,,,1262993985,
어라운드196,어라운드196,https://smartstore.naver.com/around196,,,,,8174200432,
영창피아노 청주대리점,HDC 영창뮤직 청주대리점,https://smartstore.naver.com/piano8480,,,,,3011298792,
주식회사 마리아랩,데이미랩,https://smartstore.naver.com/demilab,,,,,3468602285,
민덕,민덕,https://smartstore.naver.com/minduck9,,,,,2441000292,
모모펀,모모펀,https://smartstore.naver.com/momofun,,,,,7340702416,
주식회사 링고벨,무선호출벨 링고벨,https://smartstore.naver.com/ringobell,,,,,2248800133,
용현상사,오라이프샵,https://smartstore.naver.com/5life,,,,,1015400285,
